Question,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Answer Option 7,Answer Option 8,Answer Option 9,Answer Option 10,Answer Option 11,Answer Option 12,Answer Option 13,Answer Option 14,Answer Option 15,Correct Response,Explanation,Knowledge Area
"During his reconnaissance phase, ethical hacker George comes across a seemingly abandoned subdomain with an outdated security certificate. Why is this significant for his ethical hacking process?",multiple-choice,"It indicates that the company's network is immune to penetration testing","It shows that the company's IT team is not efficient","It could provide a potential entry point for further investigation","It means that the company's network has already been breached",,,,,,,,,,,,3," Abandoned or neglected parts of a network can often have weaker security measures, making them attractive targets for hackers. An outdated security certificate could indicate that this subdomain has not been maintained, potentially providing a viable entry point for further investigation.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"During the reconnaissance phase, an ethical hacker finds an employee's resume on a job site, which details specific systems and technologies they've worked with at their current company. How can this information be utilized?",multiple-choice,"To send the employee a phishing email","To determine potential technologies in use that could have known vulnerabilities","To blackmail the employee into providing insider information","To apply for the same job as the employee",,,,,,,,,,,,2," This information can help an ethical hacker understand the technology stack and systems the target company uses. It can be used to identify potential vulnerabilities in these systems that could be exploited in a penetration test.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the main benefit of using a decoy scan in Nmap?",multiple-choice,"It makes the scanning process faster","It can identify decoy systems in the network","It hides the scanner's IP address among multiple decoy IP addresses","It provides a colorful decoy map of the network",,,,,,,,,,,,3," A decoy scan in Nmap uses spoofed IP addresses along with the real IP address to make it harder to detect where the scanning is actually coming from. The decoys serve as a way to obfuscate the true source of the scan.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the primary goal of using a Whois lookup in the footprinting process?",multiple-choice,"Identifying web application vulnerabilities","Brute forcing login credentials","Extracting information about domain ownership","Infecting the target's systems with malware",,,,,,,,,,,,3," A Whois lookup is used to extract information about a domain such as the domain owner, its registrar, its creation and expiration dates, and the DNS servers it uses. ","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the primary purpose of a tool like Maltego in the footprinting and reconnaissance phase?",multiple-choice,"To overload the target's network with traffic","To infect the target's systems with malware","To visualize complex networks and relationships between entities","To erase data from the target's systems",,,,,,,,,,,,3," Maltego is an open-source intelligence and forensics application. It's primarily used for data mining and information gathering, as well as the graphical representation of this information. It's particularly useful for illustrating complex networks and relationships between different entities.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What method involves tricking individuals into giving out sensitive information, thereby allowing unauthorized access to systems?",multiple-choice,"Password Cracking","Social Engineering","Buffer Overflow","Firewall",,,,,,,,,,,,2," Social engineering manipulates individuals into revealing sensitive information. It preys on human vulnerabilities rather than software and can lead to unauthorized system access.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the primary benefit of using an ACK scan?",multiple-choice,"Identifying operating systems","Identifying active hosts","Identifying firewall rules","Identifying user activities",,,,,,,,,,,,3," ACK scans are used primarily for mapping out firewall rule sets. They can help to identify which ports are filtered and which are unfiltered.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What tool would an ethical hacker use to perform a ping sweep?",multiple-choice,"Nessus","Nmap","Wireshark","Metasploit",,,,,,,,,,,,2," Nmap is a tool that can be used to perform a ping sweep, which is a technique used to identify which hosts are up in a network.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What type of information can be obtained through 'Website footprinting' during the reconnaissance phase?",multiple-choice,"Social security numbers of the website's users","Credit card information stored on the website","Information about the website's structure, technology stack, and potentially sensitive directories","Personal emails of the website's users",,,,,,,,,,,,3," Website footprinting can provide information about the website's structure, technology stack, and potentially sensitive directories. Tools like builtwith.com and wappalyzer can help identify the technology stack, and robots.txt or sitemap.xml can reveal important information about the site's structure.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"During the footprinting phase, ethical hacker Steve identifies several email addresses associated with his target company through data found on the web. How can this information be used?",multiple-choice,"To send spam emails to the company","To create a list of potential targets for a spear-phishing campaign","To pretend to be an employee of the company","To hack into the company's email server",,,,,,,,,,,,2," The identified email addresses could be used to create a list of potential targets for a spear-phishing campaign. Spear-phishing is a targeted form of phishing where the attacker is aware of specific details about their victim, and uses this information to appear more convincing.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the main purpose of footprinting in the ethical hacking process?",multiple-choice,"Compromising the target's systems","Collecting information about the target","Attacking the target's network","Creating a defensive strategy for the target",,,,,,,,,,,,2," Footprinting is the process of gathering as much information as possible about the target (which could be a person, organization, or system). This aids in understanding the target's security posture and helps in designing a targeted attack strategy.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What does a Null session in NetBIOS enumeration provide?",multiple-choice,"A session without data transmission","A session with limited data transmission","A session with unrestricted access to all data","An anonymous session with potential access to certain data",,,,,,,,,,,,4," A Null session in NetBIOS enumeration provides an anonymous logon, which could potentially give access to certain data.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"In network scanning, what is the purpose of sending a TCP RST packet?",multiple-choice,"To establish a new connection","To close an existing connection","To keep the connection alive","To reset the router",,,,,,,,,,,,2," A TCP RST (reset) packet is sent either in response to an unexpected packet, or when a TCP endpoint needs to abruptly close a connection. ","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Why are vulnerability assessment tools important for cybersecurity?",multiple-choice,"They provide a complete guarantee against cyber attacks","They can identify, classify, and help remediate vulnerabilities","They can prevent any kind of cyber attack","They replace the need for cybersecurity personnel",,,,,,,,,,,,2," Vulnerability assessment tools are important because they can identify and classify vulnerabilities in a network. The results from these tools can help inform remediation efforts and prioritize vulnerabilities based on their severity.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"During a network enumeration, you run the command 'net view \\192.168.1.5' and get the following output: - 'ADMIN$ Disk  C:\WINDOWS' - Based on this output, what is the likely operating system of the target machine?",multiple-choice,"Linux","MacOS","Windows","Android",,,,,,,,,,,,3," The presence of an ADMIN$ share that maps to C:\WINDOWS suggests that the target machine is running a version of Windows.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"You are in the enumeration phase of a network penetration test. Which of the following techniques would likely provide the most valuable information?",multiple-choice,"Denial of service attack","Ping sweep","Malware execution","LDAP Dumping",,,,,,,,,,,,4," Enumerating network services such as LDAP and dumping their information often provides the most valuable information during this phase as it often provides usernames, groups, hostnames which can be crucial for identifying and exploiting potential vulnerabilities.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which of the following is not a popular vulnerability scanner?",multiple-choice,"Nessus","Wireshark","OpenVAS","Nexpose",,,,,,,,,,,,2," Wireshark is a network protocol analyzer, not a vulnerability scanner.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"In CVSS scoring, what does the 'Temporal Score' measure?",multiple-choice,"The characteristics of a vulnerability that are constant over time and across user environments.","The characteristics of a vulnerability that change over time or in different environments.","The ease of exploitation and the level of privileges needed.","The level of impact on confidentiality, integrity, and availability.",,,,,,,,,,,,2," The 'Temporal Score' in CVSS measures the characteristics of a vulnerability that change over time or in different environments, such as the availability of an exploit, the remediation level, or whether the vulnerability has been confirmed by the vendor.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"How can an ethical hacker use the social networking site LinkedIn for footprinting a target organization?",multiple-choice,"Extracting sensitive company data from LinkedIn's databases","Gaining unauthorized access to the company's LinkedIn account","Collecting information about the company's employees, their roles, and skills","Launching a denial of service attack against the company's LinkedIn page",,,,,,,,,,,,3," LinkedIn can be a valuable resource for footprinting because it contains information about a company's employees, their roles, skills, and sometimes even their work history. This information can be used to understand a company's structure or to identify potential targets for social engineering attacks.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What information does a vulnerability scanner provide?",multiple-choice,"The number of active users in a system.","The contents of a system's databases.","Detailed information about potential vulnerabilities in a system.","Information on how to exploit vulnerabilities.",,,,,,,,,,,,3," A vulnerability scanner is used to identify and report about known vulnerabilities in a system.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"How do you instruct Nmap to scan for both TCP and UDP ports?",multiple-choice,"nmap -sS -sU target","nmap -st -su target","nmap -p T:U target","nmap -sT:U target",,,,,,,,,,,,1," By using both '-sS' and '-sU' flags in a Nmap command (as in 'nmap -sS -sU target'), Nmap will perform a scan for both TCP (SYN scan) and UDP ports.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"In the vulnerability audit lifecycle, which step involves evaluating the impact of a known vulnerability?",multiple-choice,"Scanning","Reporting","Identification","Risk Assessment",,,,,,,,,,,,4," The risk assessment phase of the vulnerability audit lifecycle involves evaluating the potential impact of a known vulnerability. This is crucial for prioritizing remediation efforts and resources.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the Common Vulnerabilities and Exposures (CVE) Identifier used for in vulnerability management?",multiple-choice,"To track and classify system vulnerabilities.","To calculate the impact of a potential exploit.","To provide mitigation techniques for system vulnerabilities.","To demonstrate hacking techniques to trainees.",,,,,,,,,,,,1," The CVE system provides a reference-method for publicly known information-security vulnerabilities and exposures.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What type of vulnerability scanner checks for misconfigurations or flaws within a network's equipment, such as routers, switches, and firewalls?",multiple-choice,"Network scanner","Host-based scanner","Wireless scanner","Database scanner",,,,,,,,,,,,1," Network scanners are designed to check for vulnerabilities in network equipment, such as routers, switches, and firewalls.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which law requires organizations to protect EU citizens' personal data and privacy during transactions within EU member states?",multiple-choice,"The Computer Fraud and Abuse Act (CFAA)","The Health Insurance Portability and Accountability Act (HIPAA)","General Data Protection Regulation (GDPR)","Federal Information Security Management Act (FISMA)",,,,,,,,,,,,3," GDPR provides a regulatory framework to ensure the privacy and protection of personal data of EU citizens. It places stringent requirements on how organizations collect, store, and manage personal data.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which framework can be used as a guide for developing an organization's information security program?",multiple-choice,"ISO 27001","HIPAA","PCI DSS","GDPR",,,,,,,,,,,,1," ISO 27001 is a framework for managing information security. It provides guidance on how to manage information security in an organization.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is DNS interrogation, and why is it useful in the footprinting process?",multiple-choice,"It involves extracting data from databases; it's useful to find the target's confidential data","It involves querying DNS records to gather information about a target; it's useful for understanding the target's network structure","It involves decrypting network traffic; it's useful for finding hidden vulnerabilities","It involves observing a user's behavior; it's useful for designing targeted social engineering attacks",,,,,,,,,,,,2," DNS interrogation refers to the process of querying DNS records to gather information about a target's domains, IP addresses, and network structure. It's a key part of the footprinting process.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which network scanning technique can help to identify the services running on a target system?",multiple-choice,"Ping scan","Service detection scan","OS detection scan","Idle scan",,,,,,,,,,,,2," A service detection scan can be used to identify the specific services running on the open ports of a target system. This can help in identifying potential vulnerabilities.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"After performing a network scan, you identify that a particular server within the network has several open ports. However, nmap is unable to determine which services are running on those ports. What could be a possible reason for this?",multiple-choice,"The services are not currently active","The server is using a firewall that is blocking your scans","The server is running services on non-standard ports","Your scanning tool is malfunctioning",,,,,,,,,,,,3," If you are unable to identify the services running on open ports, it could be because the server is running services on non-standard ports. This can make it harder to identify the services using common port-service mappings.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the objective of 'social network footprinting' in the reconnaissance phase?",multiple-choice,"To take control of the target's social media accounts","To spam the target's social media accounts with fake news","To gather information about the target from their social media profiles","To delete the target's social media accounts",,,,,,,,,,,,3," Social network footprinting involves analyzing a target's social media profiles to gather information about them. This information can include their location, interests, network of friends or associates, and other personal information which might assist in the ethical hacking process.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What type of attack involves sending numerous requests to a network or website in order to overload and incapacitate it?",multiple-choice,"SQL Injection Attack","Cross-Site Scripting Attack","Denial of Service Attack","Man-in-the-Middle Attack",,,,,,,,,,,,3," A Denial of Service (DoS) attack aims to shut down a network or service, causing it to be inaccessible to its intended users by flooding it with excessive requests.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the primary purpose of a port scan in the context of ethical hacking?",multiple-choice,"To determine active services and their corresponding ports on a target system","To establish a secure connection with a remote server","To perform a DDoS attack on a network","To spoof the IP address of the attacker",,,,,,,,,,,,1," In the context of ethical hacking, a port scan is typically used to identify open ports and active services on a target system. This information can help identify potential vulnerabilities that may be exploited in a penetration test.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"John is an ethical hacker who has been hired to perform a penetration test on a company's network. During the footprinting phase, he discovers an active, but publicly unknown, subdomain. What could this mean for his penetration test?",multiple-choice,"It could provide a potential entry point for further investigation","It means the company's network is secure and immune to penetration testing","It indicates that the company's network is about to fail","It shows that John has already breached the company's network",,,,,,,,,,,,1," Discovery of an active, yet publicly unknown, subdomain might indicate areas of the network that are not well monitored or protected, potentially providing a viable entry point for further investigation during the penetration test.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Why might an attacker choose to use a UDP scan over a TCP scan?",multiple-choice,"UDP scans are faster","UDP scans can identify services that TCP scans cannot","UDP scans are always stealthier than TCP scans","UDP scans are easier to perform",,,,,,,,,,,,2," UDP scans are used to identify UDP services running on a target's open ports. Some services use UDP instead of TCP, so a UDP scan can identify services that a TCP scan cannot.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the role of OSINT (Open Source Intelligence) in the reconnaissance phase of ethical hacking?",multiple-choice,"It involves exploiting system vulnerabilities to gain unauthorized access","It refers to using proprietary tools to scan a network for weaknesses","It involves gathering freely available information from public sources to learn more about the target","It involves using social engineering techniques to manipulate individuals into revealing confidential information",,,,,,,,,,,,3," In the context of reconnaissance, OSINT  refers to gathering information from publicly available sources to gain insight into potential targets. This can include a wide range of data, such as domain registration details, public records, social media posts, and more.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What standard procedure ensures the ongoing operation during a system failure?",multiple-choice,"Intrusion Detection System (IDS)","Firewall","Business Continuity Plan (BCP)","Least Privilege",,,,,,,,,,,,3," A Business Continuity Plan (BCP) is a plan for how to handle outages to IT systems, applications and data access in order to maintain business operations.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What does a higher CVSS score indicate?",multiple-choice,"The vulnerability is easy to exploit","The vulnerability is difficult to exploit","The vulnerability has a greater severity","The vulnerability has a lower severity",,,,,,,,,,,,3," The CVSS score, ranging from 0 to 10, is a measurement of the severity of a vulnerability. A higher score indicates a greater severity.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"During enumeration, what information can be obtained by a successful Zone Transfer?",multiple-choice,"Network traffic information","Login credentials","Detailed information about all the DNS records","Encrypted data",,,,,,,,,,,,3," Zone Transfer allows the attacker to access the DNS records, revealing detailed information about hosts, servers, and other network details.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which of the following tools can be used for DNS enumeration during a reconnaissance process?",multiple-choice,"Nmap","Wireshark","TrueCrypt","SpiderFoot",,,,,,,,,,,,1," Nmap, short for Network Mapper, is a versatile tool used for network discovery and security auditing, including DNS enumeration, where the attacker extracts domain names, computer names, and IP addresses from a DNS server.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is a 'Half-Open' scanning technique in the context of network scanning?",multiple-choice,"A scanning technique where the scanner attempts to open half of the available ports on the target","A scanning technique where the three-way TCP handshake is not completed","A scanning technique used in the middle of the night","A scanning technique that only identifies half of the vulnerabilities",,,,,,,,,,,,2," In the context of network scanning, a 'Half-Open' scanning technique refers to a process where the three-way TCP handshake is not completed. The SYN flag is sent, but when the target responds with a SYN-ACK, the scanner responds with a RST packet instead of an ACK packet, hence the connection is not fully established.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"An nmap scan has been performed and the following output has been produced: '22/tcp open  ssh'. What does this output mean?",multiple-choice,"The system's SSH service is closed on port 22.","The system's SSH service is open on port 22.","The system's FTP service is open on port 22.","The system's SSH service is open on port 22 but is currently inactive.",,,,,,,,,,,,2," Nmap's output '22/tcp open ssh' signifies that the system's SSH service is open and running on port 22.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the primary use of the hping3 tool in network scanning?",multiple-choice,"To create custom TCP/IP packets for testing network systems","To hide IP addresses during scanning","To encrypt network traffic","To predict network traffic patterns",,,,,,,,,,,,1," hping3 is a network tool that allows you to craft custom TCP/IP packets, allowing detailed and flexible testing of firewalls, networks, and systems.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What kind of information can be obtained from the HTTP headers of a web server during the reconnaissance phase?",multiple-choice,"Social security numbers of the server administrators","Credit card numbers stored on the server","Details about the server, such as the server software and version","The company's financial information",,,,,,,,,,,,3," HTTP headers can provide information about the web server, including the type of server software being used and the version number. This information can be used to look for known vulnerabilities associated with that specific server software and version.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the main difference between a vulnerability assessment and penetration testing?",multiple-choice,"A vulnerability assessment looks for potential vulnerabilities, while penetration testing tries to exploit them","A vulnerability assessment exploits system vulnerabilities, while penetration testing only identifies them","A vulnerability assessment and penetration testing are exactly the same","A vulnerability assessment is a legal process, while penetration testing is not",,,,,,,,,,,,1," While both vulnerability assessments and penetration testing aim to identify vulnerabilities, a vulnerability assessment focuses on uncovering vulnerabilities, while penetration testing takes it a step further by trying to exploit the vulnerabilities.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the primary function of a CVE Identifier in the realm of cybersecurity?",multiple-choice,"To perform network intrusion detection.","To provide a method for identifying vulnerabilities and exposures in a publicly known manner.","To conduct penetration testing on a target network.","To monitor network traffic for malicious activity.",,,,,,,,,,,,2," A CVE Identifier provides a standardized method for identifying vulnerabilities and exposures in a publicly known manner.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"You have conducted a vulnerability scan on your company's network and found a number of vulnerabilities with different CVSS scores. Which vulnerability should be addressed first?",multiple-choice,"Vulnerability A with CVSS score 4.0","Vulnerability B with CVSS score 8.0","Vulnerability C with CVSS score 2.0","Vulnerability D with CVSS score 6.0",,,,,,,,,,,,2," Vulnerabilities with higher CVSS scores represent a higher severity and should be addressed first.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Your organization has received numerous alerts about potential scan attacks on your network. What immediate action should you take to verify these alerts?",multiple-choice,"Shut down the entire network","Check the log files of your IDS/IPS","Update all user passwords","Unplug all network cables",,,,,,,,,,,,2," The immediate step should be to verify these alerts by checking the log files of your Intrusion Detection System/Intrusion Prevention System (IDS/IPS). They contain detailed information about network activities.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Why might an attacker use a slow scan instead of a fast scan?",multiple-choice,"To avoid triggering security mechanisms","Because they have a slow internet connection","Because it's easier to perform","To test the patience of their victim",,,,,,,,,,,,1," Slow scans (or low-and-slow scans) take longer, but they are more likely to avoid detection by security mechanisms that look for multiple requests in a short time span.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is a 'ping sweep', and why is it used during the reconnaissance phase?",multiple-choice,"It's a technique to determine live hosts in a network range; it's used to understand the target's network topology","It's a technique to overload a network with traffic; it's used to test the target's network resilience","It's a technique to disrupt network services; it's used to assess the impact of a denial of service attack","It's a technique to measure network latency; it's used to optimize the target's network performance",,,,,,,,,,,,1," A ping sweep is a network scanning method used to determine which of a range of IP addresses map to live hosts (computers). This is typically used to understand the network topology and discover live hosts during the reconnaissance phase.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What is the BGP protocol used for?",multiple-choice,"Routing data across the internet","Encrypting data for secure transmission over a network","Transferring files between networked devices","Translating URLs into IP addresses",,,,,,,,,,,,1," BGP (Border Gateway Protocol) is used for routing data across the internet by determining the best path for data transfer.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which type of vulnerability scanner is designed specifically to identify vulnerabilities in web applications, such as SQL injection and cross-site scripting vulnerabilities?",multiple-choice,"Network scanner","Host-based scanner","Database scanner","Web application scanner",,,,,,,,,,,,4," Web application scanners are designed specifically to identify vulnerabilities in web applications, such as SQL injection and cross-site scripting vulnerabilities.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"What Nmap command would be used to detect the operating system of a target?",multiple-choice,"nmap -O target","nmap -sV target","nmap -oS target","nmap -oN target",,,,,,,,,,,,1," The Nmap command for OS detection is 'nmap -O target'. This utilizes TCP/IP stack fingerprinting to guess the operating system of the target.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which network scanning technique does not complete the three-way handshake and is therefore often referred to as 'stealth scanning'?",multiple-choice,"SYN Scan","Connect Scan","UDP Scan","Xmas Scan",,,,,,,,,,,,1," SYN scanning, often referred to as 'half-open scanning,' is a tactic that a hacker can use to prevent their scanning attempts from being detected by firewall systems. The three-way handshake is not completed, thus it is also known as 'stealth scanning.'","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
"Which law requires public companies in the United States to demonstrate control over their financial reporting?",multiple-choice,"HIPAA","GDPR","PCI DSS","Sarbanes-Oxley Act",,,,,,,,,,,,4," The Sarbanes-Oxley Act (SOX) of 2002 is a US law that requires public companies to demonstrate control over their financial reporting.","Ethical Hacking, Reconnaissance, Scanning, Enumeration, Vulnerability Analysis"
